state_name,2022,2023,2024
.Alabama,"5,076,181","5,117,673","5,157,699"
.Alaska,"734,442","736,510","740,133"
.Arizona,"7,377,566","7,473,027","7,582,384"
.Arkansas,"3,047,704","3,069,463","3,088,354"
.California,"39,142,414","39,198,693","39,431,263"
.Colorado,"5,850,935","5,901,339","5,957,493"
.Connecticut,"3,617,925","3,643,023","3,675,069"
.Delaware,"1,020,625","1,036,423","1,051,917"
.District of Columbia,"676,725","687,324","702,250"
.Florida,"22,379,312","22,904,868","23,372,215"
.Georgia,"10,931,805","11,064,432","11,180,878"
.Hawaii,"1,440,359","1,441,387","1,446,146"
.Idaho,"1,944,299","1,971,122","2,001,619"
.Illinois,"12,621,821","12,642,259","12,710,158"
.Indiana,"6,844,545","6,880,131","6,924,275"
.Iowa,"3,202,820","3,218,414","3,241,488"
.Kansas,"2,937,324","2,951,500","2,970,606"
.Kentucky,"4,519,233","4,550,595","4,588,372"
.Louisiana,"4,593,687","4,588,071","4,597,740"
.Maine,"1,390,922","1,399,646","1,405,012"
.Maryland,"6,192,440","6,217,062","6,263,220"
.Massachusetts,"7,022,468","7,066,568","7,136,171"
.Michigan,"10,050,877","10,083,356","10,140,459"
.Minnesota,"5,721,621","5,753,048","5,793,151"
.Mississippi,"2,941,939","2,943,172","2,943,045"
.Missouri,"6,179,414","6,208,038","6,245,466"
.Montana,"1,122,095","1,131,302","1,137,233"
.Nebraska,"1,972,246","1,987,864","2,005,465"
.Nevada,"3,176,116","3,214,363","3,267,467"
.New Hampshire,"1,396,678","1,402,199","1,409,032"
.New Jersey,"9,295,227","9,379,642","9,500,851"
.New Mexico,"2,113,868","2,121,164","2,130,256"
.New York,"19,703,747","19,737,367","19,867,248"
.North Carolina,"10,710,793","10,881,189","11,046,024"
.North Dakota,"781,057","789,047","796,568"
.Ohio,"11,777,874","11,824,034","11,883,304"
.Oklahoma,"4,026,229","4,063,882","4,095,393"
.Oregon,"4,247,372","4,253,653","4,272,371"
.Pennsylvania,"12,984,990","13,017,721","13,078,751"
.Rhode Island,"1,099,498","1,103,429","1,112,308"
.South Carolina,"5,287,935","5,387,830","5,478,831"
.South Dakota,"909,723","918,305","924,669"
.Tennessee,"7,062,217","7,148,304","7,227,750"
.Texas,"30,113,488","30,727,890","31,290,831"
.Utah,"3,391,011","3,443,222","3,503,613"
.Vermont,"648,142","648,708","648,493"
.Virginia,"8,683,414","8,734,685","8,811,195"
.Washington,"7,794,123","7,857,320","7,958,180"
.West Virginia,"1,774,122","1,770,495","1,769,979"
.Wisconsin,"5,903,975","5,930,405","5,960,975"
.Wyoming,"581,978","585,067","587,618"
,,,
.Puerto Rico,"3,220,137","3,203,792","3,203,295"
